epoch,train_loss,val_loss,val_accuracy
1,6.580627490149604,6.582812029739906,0.05555555555555555
2,6.58032533009847,6.583234227936844,0.0
3,6.580149728986952,6.583720453854265,0.0
4,6.57999554740058,6.584479825250034,0.0
5,6.579907701280382,6.585064000096814,0.0
6,6.579681483374702,6.585988209165376,0.0
7,6.579337959289551,6.588529849874562,0.0
8,6.579069137573242,6.588862254701811,0.0
9,6.57869585884942,6.592787298662909,0.0
10,6.578335382673475,6.5923757224247375,0.0
11,6.57819496790568,6.595439351838211,0.0
12,6.5779751608106825,6.598385843737372,0.0
13,6.577646603054471,6.6016149849727235,0.0
14,6.5773992284139,6.6017321718150175,0.0
15,6.577243724399143,6.60293958927023,0.0
16,6.577052423689101,6.607700150588463,0.0
17,6.576859715779622,6.604570240809999,0.0
18,6.576587651570638,6.611703543827452,0.0
19,6.576325836181641,6.609023801211653,0.0
20,6.575907957288954,6.6012583107783875,0.0
21,6.5751092614067925,6.611245418417043,0.0
22,6.574512695736355,6.608020667372079,0.0
23,6.573579601711697,6.617366461918272,0.0
24,6.572190884484185,6.612288244839372,0.0
25,6.5704095607333715,6.619242849021123,0.0
26,6.568238872951931,6.622017350690118,0.0
27,6.5655876159667965,6.624237422285409,0.05555555555555555
28,6.562632136874729,6.62823224889821,0.0
29,6.5592069223192,6.634563446044922,0.0
30,6.555549969143338,6.643895313657564,0.0
31,6.5513749567667645,6.641985778150888,0.0
32,6.545673662821452,6.639343360374713,0.05555555555555555
33,6.541090835995145,6.633513845246414,0.0
34,6.533657298617893,6.655133970852556,0.0
35,6.5257301182217065,6.672404749640103,0.0
36,6.517250754038493,6.647338028611808,0.05555555555555555
37,6.5063712861802845,6.671519624775853,0.0
38,6.49558759689331,6.67546453147099,0.0
39,6.483940720028348,6.702781479934166,0.05555555555555555
40,6.470572848849827,6.669378264196988,0.05555555555555555
41,6.453241725497776,6.661857325455238,0.0
42,6.435836476220025,6.66494423767616,0.0
43,6.415200710296631,6.654171549040695,0.0
44,6.387952690124512,6.6200152923320905,0.05555555555555555
45,6.354642675187852,6.6184977827401,0.0
46,6.3197773509555395,6.589398252552953,0.05555555555555555
47,6.271674126519097,6.554517943283607,0.1111111111111111
48,6.221504582299127,6.554584059221991,0.05555555555555555
49,6.152806616889106,6.507118899246742,0.1111111111111111
50,6.053962851630317,6.40075185381133,0.3333333333333333
