epoch,train_loss,val_loss,val_accuracy
1,3.1791945891910127,3.1795417111495445,3.7777777777777777
2,3.1785885471767847,3.179775698431607,3.7777777777777777
3,3.1785669210222034,3.1790157268787254,3.7777777777777777
4,3.178332880867852,3.1790513170176538,3.7777777777777777
5,3.1782531854841443,3.178998486749057,3.7777777777777777
6,3.1782825883229573,3.1789672703578553,3.7777777777777777
7,3.1782672108544245,3.178952800816503,3.7777777777777777
8,3.1781996398501926,3.1788728319365402,3.5555555555555554
9,3.1781793202294244,3.1788510125258873,3.7777777777777777
10,3.1781663915846083,3.1787608080896836,3.5555555555555554
11,3.1780999914805093,3.179027055871898,3.7777777777777777
12,3.1781318685743543,3.178723614791344,3.2777777777777777
13,3.1781508858998615,3.1787476046332,3.888888888888889
14,3.178141040802002,3.1787362016480545,3.2777777777777777
15,3.1781145826975505,3.1787294848211882,3.5
16,3.1781344138251413,3.178680732332427,3.5555555555555554
17,3.1780122799343533,3.1788493764811547,3.7777777777777777
18,3.1584893449147544,3.0691262360276848,7.055555555555555
19,2.914004437128703,2.7574603968653184,10.38888888888889
20,2.5452107853359647,2.3741068264533736,18.0
21,2.3012458833058673,2.243924412234076,21.666666666666668
22,2.1681426906585695,2.205820416582042,21.72222222222222
23,2.079510119756063,2.0910848461348435,23.666666666666668
24,2.0111393388112386,2.0365554094314575,26.27777777777778
25,1.9463845846388075,1.9420355846141946,28.72222222222222
26,1.8864483414755928,1.8963367774568756,30.166666666666668
27,1.8361300293604532,1.927448531676983,31.22222222222222
28,1.7835096952650282,1.8173048167393124,32.22222222222222
29,1.7230965052710638,1.7488824087997963,35.77777777777778
30,1.6641839594311185,1.7043604932982346,37.44444444444444
31,1.6231601365407309,1.7074364834818347,36.05555555555556
32,1.5701200675964355,1.6324275115440632,40.55555555555556
33,1.5093831963009305,1.5531917933760018,44.22222222222222
34,1.4894438929027982,1.509998005011986,45.22222222222222
35,1.4259371169408162,1.5216855221781238,43.5
36,1.3927012395858764,1.502231766437662,46.27777777777778
37,1.3572285827000936,1.461105714584219,46.72222222222222
38,1.318563729127248,1.4532435885791122,47.05555555555556
39,1.2757251636187235,1.4317666949896977,48.94444444444444
40,1.2387626271777683,1.3449980842656102,50.27777777777778
